sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
1023,1187006834.249756,0.249755859375,-2047.750244140625,5.756703499083761e-19,V1,5.756703499083761e-19,1.0,3.3139635176363203e-37
1024,1187006834.25,0.25,-2047.75,5.9827769958645555e-19,V1,5.9827769958645555e-19,1.0,3.5793620582246106e-37
1025,1187006834.250244,0.250244140625,-2047.749755859375,5.934006012671066e-19,V1,5.934006012671066e-19,1.0,3.5212427358416364e-37
1026,1187006834.2504883,0.25048828125,-2047.74951171875,5.845394236485954e-19,V1,5.845394236485954e-19,1.0,3.41686337799432e-37
1027,1187006834.2507324,0.250732421875,-2047.749267578125,6.159681358619776e-19,V1,6.159681358619776e-19,1.0,3.794167443972796e-37
1028,1187006834.2509766,0.2509765625,-2047.7490234375,5.92739696744959e-19,V1,5.92739696744959e-19,1.0,3.51340348097306e-37
1029,1187006834.2512207,0.251220703125,-2047.748779296875,6.084407363462582e-19,V1,6.084407363462582e-19,1.0,3.70200129645577e-37
1030,1187006834.2514648,0.25146484375,-2047.74853515625,6.071197725048659e-19,V1,6.071197725048659e-19,1.0,3.6859441816636015e-37
1031,1187006834.251709,0.251708984375,-2047.748291015625,6.568675744257435e-19,V1,6.568675744257435e-19,1.0,4.314750103319597e-37
1032,1187006834.2519531,0.251953125,-2047.748046875,6.2370204131813e-19,V1,6.2370204131813e-19,1.0,3.890042363444023e-37
1033,1187006834.2521973,0.252197265625,-2047.747802734375,6.657110793056934e-19,V1,6.657110793056934e-19,1.0,4.4317124111035125e-37
1034,1187006834.2524414,0.25244140625,-2047.74755859375,6.574522229592525e-19,V1,6.574522229592525e-19,1.0,4.322434254740627e-37
1035,1187006834.2526855,0.252685546875,-2047.747314453125,6.876751352636589e-19,V1,6.876751352636589e-19,1.0,4.7289709165989174e-37
1036,1187006834.2529297,0.2529296875,-2047.7470703125,6.629152441526011e-19,V1,6.629152441526011e-19,1.0,4.394566209299027e-37
1037,1187006834.2531738,0.253173828125,-2047.746826171875,6.830407556399806e-19,V1,6.830407556399806e-19,1.0,4.665446738652355e-37
1038,1187006834.253418,0.25341796875,-2047.74658203125,7.01271667364499e-19,V1,7.01271667364499e-19,1.0,4.917819514481846e-37
1039,1187006834.253662,0.253662109375,-2047.746337890625,6.744805995209313e-19,V1,6.744805995209313e-19,1.0,4.54924079130115e-37
1040,1187006834.2539062,0.25390625,-2047.74609375,6.853741759838017e-19,V1,6.853741759838017e-19,1.0,4.69737761105475e-37
1041,1187006834.2541504,0.254150390625,-2047.745849609375,6.6321361106836335e-19,V1,6.6321361106836335e-19,1.0,4.398522939063383e-37
1042,1187006834.2543943,0.25439453125,-2047.74560546875,7.039880845557177e-19,V1,7.039880845557177e-19,1.0,4.955992231964282e-37
1043,1187006834.254639,0.254638671875,-2047.745361328125,6.59477873500142e-19,V1,6.59477873500142e-19,1.0,4.349110656362694e-37
